ID,CONFIDENCE,NUMBER,VOTE
146,1.0,yes (1 - 0),yes (9 - 0)
147,1.0,yes (1 - 0),yes (9 - 0)
148,1.0,yes (1 - 0),yes (9 - 0)
149,1.0,yes (1 - 0),yes (9 - 0)
150,1.0,yes (1 - 0),yes (9 - 0)
151,1.0,yes (1 - 0),yes (9 - 0)
152,-0.5409836065573771,yes (5 - 2),no (14 - 47)
153,1.0,yes (1 - 0),yes (63 - 0)
154,1.0,yes (1 - 0),yes (63 - 0)
155,1.0,yes (1 - 0),yes (63 - 0)
156,-0.1111111111111111,no (1 - 1),no (4 - 5)
157,0.6363636363636364,yes (3 - 1),yes (9 - 2)
158,1.0,yes (1 - 0),yes (2 - 0)
159,1.0,yes (1 - 0),yes (9 - 0)
160,1.0,yes (1 - 0),yes (9 - 0)
161,1.0,yes (1 - 0),yes (9 - 0)
162,1.0,yes (3 - 0),yes (10 - 0)
163,1.0,yes (3 - 0),yes (10 - 0)
164,-1.0,no (0 - 1),no (0 - 1)
165,-1.0,no (0 - 1),no (0 - 1)
166,1.0,yes (1 - 0),yes (1 - 0)
167,1.0,yes (1 - 0),yes (1 - 0)
168,1.0,yes (1 - 0),yes (1 - 0)
169,1.0,yes (1 - 0),yes (1 - 0)
170,1.0,yes (1 - 0),yes (1 - 0)
171,1.0,yes (1 - 0),yes (13 - 0)
172,1.0,yes (2 - 0),yes (44 - 0)
173,1.0,yes (3 - 0),yes (52 - 0)
174,1.0,yes (3 - 0),yes (52 - 0)
175,-1.0,no (0 - 1),no (0 - 4)
176,-1.0,no (0 - 1),no (0 - 4)
177,1.0,yes (2 - 0),yes (2 - 0)
178,1.0,yes (2 - 0),yes (2 - 0)
179,1.0,yes (1 - 0),yes (1 - 0)
180,1.0,yes (1 - 0),yes (1 - 0)
181,-0.42857142857142855,no (1 - 1),no (2 - 5)
182,-1.0,no (0 - 1),no (0 - 5)
183,1.0,yes (1 - 0),yes (9 - 0)
184,1.0,yes (1 - 0),yes (1 - 0)
185,1.0,yes (2 - 0),yes (2 - 0)
186,1.0,yes (1 - 0),yes (63 - 0)
187,1.0,yes (1 - 0),yes (63 - 0)
188,1.0,yes (2 - 0),yes (6 - 0)
189,-1.0,no (0 - 1),no (0 - 2)
190,-1.0,no (0 - 1),no (0 - 1)
191,1.0,yes (1 - 0),yes (1 - 0)
192,1.0,yes (2 - 0),yes (4 - 0)
193,1.0,yes (1 - 0),yes (63 - 0)
194,1.0,yes (1 - 0),yes (63 - 0)
195,1.0,yes (2 - 0),yes (4 - 0)
196,1.0,yes (1 - 0),yes (63 - 0)
197,1.0,yes (1 - 0),yes (63 - 0)
198,1.0,yes (1 - 0),yes (63 - 0)
199,1.0,yes (1 - 0),yes (1 - 0)
200,1.0,yes (1 - 0),yes (1 - 0)
201,-1.0,no (0 - 1),no (0 - 1)
202,-1.0,no (0 - 1),no (0 - 1)
203,1.0,yes (1 - 0),yes (1 - 0)
204,1.0,yes (1 - 0),yes (1 - 0)
205,1.0,yes (1 - 0),yes (1 - 0)
206,1.0,yes (1 - 0),yes (63 - 0)
207,1.0,yes (2 - 0),yes (64 - 0)
208,1.0,yes (1 - 0),yes (63 - 0)
209,1.0,yes (1 - 0),yes (1 - 0)
210,1.0,yes (1 - 0),yes (1 - 0)
211,1.0,yes (1 - 0),yes (13 - 0)
212,1.0,yes (1 - 0),yes (2 - 0)
213,0.9941348973607038,yes (2 - 1),yes (340 - 1)
214,1.0,yes (2 - 0),yes (340 - 0)
215,0.0,no (1 - 1),no (2 - 2)
216,-1.0,no (0 - 1),no (0 - 2)
217,1.0,yes (1 - 0),yes (1 - 0)
218,1.0,yes (1 - 0),yes (1 - 0)
219,1.0,yes (1 - 0),yes (1 - 0)
220,1.0,yes (1 - 0),yes (1 - 0)
221,1.0,yes (1 - 0),yes (1 - 0)
222,-1.0,no (0 - 1),no (0 - 2)
223,1.0,yes (1 - 0),yes (1 - 0)
224,1.0,yes (1 - 0),yes (1 - 0)
225,-1.0,no (0 - 1),no (0 - 2)
226,0.0,no (1 - 1),no (2 - 2)
227,1.0,yes (1 - 0),yes (1 - 0)
228,1.0,yes (1 - 0),yes (1 - 0)
229,1.0,yes (2 - 0),yes (340 - 0)
230,1.0,yes (2 - 0),yes (340 - 0)
231,0.9941348973607038,yes (2 - 1),yes (340 - 1)
232,1.0,yes (2 - 0),yes (340 - 0)
233,1.0,yes (1 - 0),yes (1 - 0)
234,1.0,yes (1 - 0),yes (31 - 0)
235,1.0,yes (1 - 0),yes (2 - 0)
236,1.0,yes (1 - 0),yes (2 - 0)
237,1.0,yes (1 - 0),yes (15 - 0)
238,1.0,yes (1 - 0),yes (15 - 0)
239,1.0,yes (1 - 0),yes (15 - 0)
240,1.0,yes (1 - 0),yes (15 - 0)
241,1.0,yes (1 - 0),yes (15 - 0)
242,1.0,yes (1 - 0),yes (15 - 0)
243,1.0,yes (1 - 0),yes (15 - 0)
244,1.0,yes (1 - 0),yes (15 - 0)
245,1.0,yes (1 - 0),yes (15 - 0)
246,1.0,yes (1 - 0),yes (63 - 0)
247,1.0,yes (1 - 0),yes (63 - 0)
248,-1.0,no (0 - 1),no (0 - 13)
249,-1.0,no (0 - 1),no (0 - 13)
250,-1.0,no (0 - 1),no (0 - 13)
251,-1.0,no (0 - 1),no (0 - 13)
252,-1.0,no (0 - 1),no (0 - 13)
253,-1.0,no (0 - 1),no (0 - 13)
254,1.0,yes (1 - 0),yes (13 - 0)
255,1.0,yes (1 - 0),yes (13 - 0)
256,1.0,yes (7 - 0),yes (21 - 0)
257,1.0,yes (1 - 0),yes (13 - 0)
258,1.0,yes (1 - 0),yes (63 - 0)
259,-1.0,no (0 - 1),no (0 - 1)
260,1.0,yes (1 - 0),yes (1 - 0)
261,1.0,yes (1 - 0),yes (1 - 0)
262,1.0,yes (2 - 0),yes (64 - 0)
263,1.0,yes (1 - 0),yes (1 - 0)
264,1.0,yes (1 - 0),yes (13 - 0)
265,1.0,yes (7 - 0),yes (21 - 0)
266,1.0,yes (1 - 0),yes (63 - 0)
267,-1.0,no (0 - 1),no (0 - 2)
268,0.0,yes (2 - 1),no (2 - 2)
269,1.0,yes (1 - 0),yes (1 - 0)
270,1.0,yes (6 - 0),yes (20 - 0)
271,1.0,yes (2 - 0),yes (14 - 0)
272,1.0,yes (2 - 0),yes (14 - 0)
273,1.0,yes (1 - 0),yes (1 - 0)
274,1.0,yes (1 - 0),yes (1 - 0)
275,1.0,yes (1 - 0),yes (13 - 0)
276,1.0,yes (2 - 0),yes (14 - 0)
277,-1.0,no (0 - 1),no (0 - 1)
278,1.0,yes (2 - 0),yes (14 - 0)
279,1.0,yes (6 - 0),yes (20 - 0)
280,1.0,yes (1 - 0),yes (13 - 0)
281,1.0,yes (2 - 0),yes (14 - 0)
282,1.0,yes (2 - 0),yes (14 - 0)
283,1.0,yes (1 - 0),yes (13 - 0)
284,1.0,yes (1 - 0),yes (13 - 0)
285,1.0,yes (1 - 0),yes (13 - 0)
